city,state,month,AT,latitude,longitude,PM2.5,avg_ndvi,max_ndvi,min_ndvi,population
agartala,tripura,2023-01,,23.8175497,91.2726974,196.0401029748282,0.3635758064516129,0.5176909090909091,0.008790909090909,
agartala,tripura,2023-02,,23.8175497,91.2726974,170.87487470167054,0.3918272727272727,0.5554227272727273,-0.0050727272727272,
agartala,tripura,2023-03,,23.8175497,91.2726974,119.49088074023317,0.4356656891495601,0.7109772727272727,0.0067090909090909,
agartala,tripura,2023-04,,23.8175497,91.2726974,94.20535598120723,0.5134483333333334,0.6424545454545455,-0.0003,
agartala,tripura,2023-05,,23.8175497,91.2726974,63.55358490566032,0.3220642228739003,0.6144636363636364,-0.0307681818181818,
agartala,tripura,2023-06,,23.8175497,91.2726974,58.87499522445087,0.122570909090909,0.5881954545454545,-0.9558863636363636,
agartala,tripura,2023-07,,23.8175497,91.2726974,32.53944517256442,0.2665475073313783,0.5851045454545455,-0.0102318181818181,
agartala,tripura,2023-08,,23.8175497,91.2726974,56.182579143389226,0.147708211143695,0.5180727272727274,-0.1975772727272727,
agartala,tripura,2023-09,,23.8175497,91.2726974,47.07337812789624,0.2691677115987461,0.5636,-0.0016090909090909,
agartala,tripura,2023-10,,23.8175497,91.2726974,74.8717331081082,0.432439696969697,0.7593045454545455,-0.069740909090909,
agartala,tripura,2023-11,,23.8175497,91.2726974,84.35626450116014,0.4785442424242425,0.7527681818181818,-0.0291363636363636,
agartala,tripura,2023-12,,23.8175497,91.2726974,93.56523238380817,0.3939133431085044,0.6576000000000001,-0.0139090909090909,
agra,uttar pradesh,2023-01,12.409831235699556,27.18413638833333,77.99071692666666,44.6413562275236,0.3501712292938099,0.6408513513513514,-0.0336243243243243,4418797.0
agra,uttar pradesh,2023-02,20.287904436769598,27.18413638833333,77.99071692666666,19.689582598918932,0.5217235235235236,0.6328567567567568,0.4137135135135135,4418797.0
agra,uttar pradesh,2023-03,24.13023348795274,27.18413638833333,77.99071692666666,16.330528770177185,0.2514723626852659,0.4288405405405405,-0.0309378378378378,4418797.0
agra,uttar pradesh,2023-04,29.194104855206213,27.18413638833333,77.99071692666666,17.065999631754618,0.1885298198198198,0.2653918918918919,-0.0417621621621621,4418797.0
