city,state,year,month,model,pm2.5_0,pm2.5_1,pm2.5_2,pm2.5_3,pm2.5_4,pm2.5_5,pm2.5_6,pm2.5_7,pm2.5_8,pm2.5_9
Agartala,Tripura,2023,January,meta-llama/Llama-3.3-70B-Instruct,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0
Agartala,Tripura,2023,February,meta-llama/Llama-3.3-70B-Instruct,114.0,114.0,114.0,114.0,63.0,114.0,114.0,114.0,63.0,114.0
Agartala,Tripura,2023,March,meta-llama/Llama-3.3-70B-Instruct,63.0,102.0,63.0,75.0,75.0,63.0,75.0,75.0,63.0,63.0
Agartala,Tripura,2023,April,meta-llama/Llama-3.3-70B-Instruct,53.0,54.0,54.0,54.0,54.0,63.0,53.0,54.0,53.0,54.0
Agartala,Tripura,2023,May,meta-llama/Llama-3.3-70B-Instruct,53.0,53.0,53.0,53.0,53.0,53.0,53.0,63.0,53.0,34.0
Agartala,Tripura,2023,June,meta-llama/Llama-3.3-70B-Instruct,35.0,34.0,34.0,34.0,43.0,53.0,53.0,34.0,34.0,43.0
Agartala,Tripura,2023,July,meta-llama/Llama-3.3-70B-Instruct,32.0,43.0,43.0,45.0,53.0,54.0,43.0,45.0,45.0,45.0
Agartala,Tripura,2023,August,meta-llama/Llama-3.3-70B-Instruct,45.0,54.0,45.0,43.0,54.0,45.0,45.0,43.0,45.0,45.0
Agartala,Tripura,2023,September,meta-llama/Llama-3.3-70B-Instruct,63.0,64.0,54.0,63.0,63.0,63.0,63.0,54.0,63.0,63.0
Agartala,Tripura,2023,October,meta-llama/Llama-3.3-70B-Instruct,65.0,83.0,63.0,63.0,63.0,63.0,85.0,85.0,83.0,85.0
Agartala,Tripura,2023,November,meta-llama/Llama-3.3-70B-Instruct,114.0,120.0,120.0,114.0,120.0,120.0,120.0,120.0,120.0,120.0
Agartala,Tripura,2023,December,meta-llama/Llama-3.3-70B-Instruct,85.0,120.0,85.0,85.0,120.0,85.0,120.0,120.0,120.0,120.0
Agra,Uttar Pradesh,2023,January,meta-llama/Llama-3.3-70B-Instruct,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0
Agra,Uttar Pradesh,2023,February,meta-llama/Llama-3.3-70B-Instruct,114.0,154.0,115.0,254.0,254.0,254.0,115.0,114.0,114.0,254.0
Agra,Uttar Pradesh,2023,March,meta-llama/Llama-3.3-70B-Instruct,102.0,154.0,115.0,115.0,115.0,151.0,151.0,115.0,114.0,151.0
Agra,Uttar Pradesh,2023,April,meta-llama/Llama-3.3-70B-Instruct,115.0,110.0,115.0,114.0,114.0,110.0,114.0,102.0,114.0,110.0
Agra,Uttar Pradesh,2023,May,meta-llama/Llama-3.3-70B-Instruct,115.0,114.0,114.0,115.0,114.0,110.0,115.0,114.0,114.0,110.0
Agra,Uttar Pradesh,2023,June,meta-llama/Llama-3.3-70B-Instruct,74.0,101.0,114.0,88.0,102.0,85.0,101.0,74.0,101.0,101.0
Agra,Uttar Pradesh,2023,July,meta-llama/Llama-3.3-70B-Instruct,85.0,83.0,83.0,83.0,82.0,85.0,82.0,83.0,102.0,88.0
Agra,Uttar Pradesh,2023,August,meta-llama/Llama-3.3-70B-Instruct,114.0,114.0,84.0,94.0,102.0,85.0,92.0,85.0,114.0,102.0
Agra,Uttar Pradesh,2023,September,meta-llama/Llama-3.3-70B-Instruct,114.0,114.0,114.0,114.0,115.0,114.0,114.0,114.0,114.0,114.0
Agra,Uttar Pradesh,2023,October,meta-llama/Llama-3.3-70B-Instruct,194.0,173.0,120.0,115.0,114.0,114.0,120.0,120.0,114.0,194.0
